/home/ad/miniconda/envs/hy/lib/python3.9/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
args
 Namespace(samples=10, concat=4, runs=1, latent_size=10, dataset='news20', seed=42, epochs=400, lr=0.001, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, dname='20newsW100', add_self_loop=True, exclude_self=False, normtype='all_one', use_mediator=False, cuda=True)
data: Data(x=[16242, 100], edge_index=[2, 65451], y=[16242], n_x=16242, train_percent=0.01, num_hyperedges=100, totedges=100, norm=[65451])
(16242, 100)
[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 1.]
 [0. 0. 0. ... 0. 0. 0.]]
Hypergraph(num_v=16242, num_e=100)
Hypergraph(num_v=16242, num_e=100)
Run Train:   0%|          | 0/1 [00:00<?, ?it/s]Run:01 Epoch: 0001 loss_train: 1.3904 loss_val: 1.3862
Run:01 Epoch: 0002 loss_train: 1.3876 loss_val: 1.3833
Run:01 Epoch: 0003 loss_train: 1.3846 loss_val: 1.3805
Run:01 Epoch: 0004 loss_train: 1.3819 loss_val: 1.3777
Run:01 Epoch: 0005 loss_train: 1.3793 loss_val: 1.3750
Run:01 Epoch: 0006 loss_train: 1.3769 loss_val: 1.3723
Run:01 Epoch: 0007 loss_train: 1.3745 loss_val: 1.3697
Run:01 Epoch: 0008 loss_train: 1.3723 loss_val: 1.3672
Run:01 Epoch: 0009 loss_train: 1.3704 loss_val: 1.3647
Run:01 Epoch: 0010 loss_train: 1.3682 loss_val: 1.3624
Run:01 Epoch: 0011 loss_train: 1.3664 loss_val: 1.3601
Run:01 Epoch: 0012 loss_train: 1.3650 loss_val: 1.3579
Run:01 Epoch: 0013 loss_train: 1.3638 loss_val: 1.3559
Run:01 Epoch: 0014 loss_train: 1.3624 loss_val: 1.3540
Run:01 Epoch: 0015 loss_train: 1.3615 loss_val: 1.3522
Run:01 Epoch: 0016 loss_train: 1.3609 loss_val: 1.3505
Run:01 Epoch: 0017 loss_train: 1.3599 loss_val: 1.3490
Run:01 Epoch: 0018 loss_train: 1.3597 loss_val: 1.3477
Run:01 Epoch: 0019 loss_train: 1.3591 loss_val: 1.3465
Run:01 Epoch: 0020 loss_train: 1.3591 loss_val: 1.3454
Run:01 Epoch: 0021 loss_train: 1.3588 loss_val: 1.3444
Run:01 Epoch: 0022 loss_train: 1.3589 loss_val: 1.3436
Run:01 Epoch: 0023 loss_train: 1.3589 loss_val: 1.3428
Run:01 Epoch: 0024 loss_train: 1.3587 loss_val: 1.3420
Run:01 Epoch: 0025 loss_train: 1.3585 loss_val: 1.3413
Run:01 Epoch: 0026 loss_train: 1.3581 loss_val: 1.3405
Run:01 Epoch: 0027 loss_train: 1.3582 loss_val: 1.3398
Run:01 Epoch: 0028 loss_train: 1.3579 loss_val: 1.3390
Run:01 Epoch: 0029 loss_train: 1.3577 loss_val: 1.3383
Run:01 Epoch: 0030 loss_train: 1.3571 loss_val: 1.3375
Run:01 Epoch: 0031 loss_train: 1.3574 loss_val: 1.3367
Run:01 Epoch: 0032 loss_train: 1.3575 loss_val: 1.3360
Run:01 Epoch: 0033 loss_train: 1.3573 loss_val: 1.3353
Run:01 Epoch: 0034 loss_train: 1.3579 loss_val: 1.3347
Run:01 Epoch: 0035 loss_train: 1.3587 loss_val: 1.3342
Run:01 Epoch: 0036 loss_train: 1.3594 loss_val: 1.3337
Run:01 Epoch: 0037 loss_train: 1.3605 loss_val: 1.3334
Run:01 Epoch: 0038 loss_train: 1.3620 loss_val: 1.3332
Run:01 Epoch: 0039 loss_train: 1.3637 loss_val: 1.3332
Run:01 Epoch: 0040 loss_train: 1.3664 loss_val: 1.3334
Run:01 Epoch: 0041 loss_train: 1.3690 loss_val: 1.3337
Run:01 Epoch: 0042 loss_train: 1.3723 loss_val: 1.3342
Run:01 Epoch: 0043 loss_train: 1.3755 loss_val: 1.3349
Run:01 Epoch: 0044 loss_train: 1.3789 loss_val: 1.3357
Run:01 Epoch: 0045 loss_train: 1.3829 loss_val: 1.3367
Run:01 Epoch: 0046 loss_train: 1.3870 loss_val: 1.3377
Run:01 Epoch: 0047 loss_train: 1.3910 loss_val: 1.3389
Run:01 Epoch: 0048 loss_train: 1.3953 loss_val: 1.3400
Run:01 Epoch: 0049 loss_train: 1.3995 loss_val: 1.3411
Run:01 Epoch: 0050 loss_train: 1.4028 loss_val: 1.3420
Run:01 Epoch: 0051 loss_train: 1.4064 loss_val: 1.3426
Run:01 Epoch: 0052 loss_train: 1.4094 loss_val: 1.3428
Run:01 Epoch: 0053 loss_train: 1.4112 loss_val: 1.3423
Run:01 Epoch: 0054 loss_train: 1.4115 loss_val: 1.3410
Run:01 Epoch: 0055 loss_train: 1.4107 loss_val: 1.3389
Run:01 Epoch: 0056 loss_train: 1.4098 loss_val: 1.3359
Run:01 Epoch: 0057 loss_train: 1.4071 loss_val: 1.3321
Run:01 Epoch: 0058 loss_train: 1.4034 loss_val: 1.3275
Run:01 Epoch: 0059 loss_train: 1.3985 loss_val: 1.3221
Run:01 Epoch: 0060 loss_train: 1.3930 loss_val: 1.3162
Run:01 Epoch: 0061 loss_train: 1.3857 loss_val: 1.3098
Run:01 Epoch: 0062 loss_train: 1.3789 loss_val: 1.3031
Run:01 Epoch: 0063 loss_train: 1.3708 loss_val: 1.2961
Run:01 Epoch: 0064 loss_train: 1.3634 loss_val: 1.2890
Run:01 Epoch: 0065 loss_train: 1.3544 loss_val: 1.2818
Run:01 Epoch: 0066 loss_train: 1.3459 loss_val: 1.2747
Run:01 Epoch: 0067 loss_train: 1.3380 loss_val: 1.2675
Run:01 Epoch: 0068 loss_train: 1.3292 loss_val: 1.2605
Run:01 Epoch: 0069 loss_train: 1.3210 loss_val: 1.2535
Run:01 Epoch: 0070 loss_train: 1.3130 loss_val: 1.2467
Run:01 Epoch: 0071 loss_train: 1.3047 loss_val: 1.2399
Run:01 Epoch: 0072 loss_train: 1.2970 loss_val: 1.2332
Run:01 Epoch: 0073 loss_train: 1.2890 loss_val: 1.2265
Run:01 Epoch: 0074 loss_train: 1.2829 loss_val: 1.2199
Run:01 Epoch: 0075 loss_train: 1.2754 loss_val: 1.2133
Run:01 Epoch: 0076 loss_train: 1.2685 loss_val: 1.2067
Run:01 Epoch: 0077 loss_train: 1.2614 loss_val: 1.2001
Run:01 Epoch: 0078 loss_train: 1.2544 loss_val: 1.1934
Run:01 Epoch: 0079 loss_train: 1.2480 loss_val: 1.1867
Run:01 Epoch: 0080 loss_train: 1.2412 loss_val: 1.1799
Run:01 Epoch: 0081 loss_train: 1.2346 loss_val: 1.1730
Run:01 Epoch: 0082 loss_train: 1.2276 loss_val: 1.1660
Run:01 Epoch: 0083 loss_train: 1.2209 loss_val: 1.1589
Run:01 Epoch: 0084 loss_train: 1.2135 loss_val: 1.1517
Run:01 Epoch: 0085 loss_train: 1.2076 loss_val: 1.1444
Run:01 Epoch: 0086 loss_train: 1.2004 loss_val: 1.1371
Run:01 Epoch: 0087 loss_train: 1.1928 loss_val: 1.1297
Run:01 Epoch: 0088 loss_train: 1.1863 loss_val: 1.1223
Run:01 Epoch: 0089 loss_train: 1.1796 loss_val: 1.1149
Run:01 Epoch: 0090 loss_train: 1.1733 loss_val: 1.1074
Run:01 Epoch: 0091 loss_train: 1.1662 loss_val: 1.1000
